报告年份,原始文件,年度文件内行号,段内对齐序号,全局对齐序号,中文,英文,中文句数,英文句数,对齐类型,对齐成本,中文字符数,英文词数,英中长度比例,是否需要人工复核,问题类型,清洗说明,原始中文,原始英文,中文清洗动作,英文清洗动作
2026,03_report_2026.csv,15,4,69,自觉依法接受监督。认真办理人大代表议案、建议和政协委员提案。,We readily accepted oversight in compliance with the law and handled with careful attention motions and recommendations from NPC deputies and proposals by CPPCC National Committee members.,2,1,2-1,0.2065,30,27,0.9,False,,无需自动清洗 | 无需自动清洗,自觉依法接受监督。认真办理人大代表议案、建议和政协委员提案。,We readily accepted oversight in compliance with the law and handled with careful attention motions and recommendations from NPC deputies and proposals by CPPCC National Committee members.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,15,5,70,开展规范涉企行政执法专项行动。,We launched a special initiative to regulate enterprise-related administrative law enforcement.,1,1,1-1,0.1483,15,11,0.7333,False,,无需自动清洗 | 无需自动清洗,开展规范涉企行政执法专项行动。,We launched a special initiative to regulate enterprise-related administrative law enforcement.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,15,6,71,健全“高效办成一件事”重点事项常态化推进机制。开展推动高质量发展综合督查。,We refined the mechanism for ensuring regular headway on key matters in the delivery of one-stop government services and conducted general inspections to assess progress toward high-quality development.,2,1,2-1,0.2669,37,28,0.7568,False,,无需自动清洗 | 无需自动清洗,健全“高效办成一件事”重点事项常态化推进机制。开展推动高质量发展综合督查。,We refined the mechanism for ensuring regular headway on key matters in the delivery of one-stop government services and conducted general inspections to assess progress toward high-quality development.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,15,7,72,加强城乡基层治理。做好新就业群体服务管理。,"We improved urban and rural community governance, ensured effective services and management for groups in new forms of employment, and placed public complaint and proposal handling on a stronger legal footing.",2,1,2-1,0.7013,21,31,1.4762,False,,无需自动清洗 | 无需自动清洗,加强城乡基层治理。做好新就业群体服务管理。,"We improved urban and rural community governance, ensured effective services and management for groups in new forms of employment, and placed public complaint and proposal handling on a stronger legal footing.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,15,8,73,提升信访工作法治化水平。持续推进安全生产治本攻坚三年行动，生产安全事故总起数下降8.7%。,"We continued the three-year drive to address the root causes of workplace accidents and ensure production safety, realizing an 8.7-percent reduction in accidents at work. We adopted effective measures to respond to natural disasters such as floods, droughts, typhoons, and earthquakes in affected places.",2,2,2-2,0.4394,45,44,0.9778,False,,无需自动清洗 | 无需自动清洗,提升信访工作法治化水平。持续推进安全生产治本攻坚三年行动，生产安全事故总起数下降8.7%。,"We continued the three-year drive to address the root causes of workplace accidents and ensure production safety, realizing an 8.7-percent reduction in accidents at work. We adopted effective measures to respond to natural disasters such as floods, droughts, typhoons, and earthquakes in affected places.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,15,9,74,有效应对部分地区洪涝、干旱、台风、地震等自然灾害。全力维护国家安全和社会稳定，积极预防、依法打击各类违法犯罪活动，平安中国建设取得新进展。,"Every effort was made to safeguard national security and social stability, and robust measures were taken to prevent and crack down on illegal and criminal activities of all types in accordance with the law. All this has led to further progress in advancing the Peaceful China Initiative.",2,2,2-2,0.5221,69,47,0.6812,False,,无需自动清洗 | 无需自动清洗,有效应对部分地区洪涝、干旱、台风、地震等自然灾害。全力维护国家安全和社会稳定，积极预防、依法打击各类违法犯罪活动，平安中国建设取得新进展。,"Every effort was made to safeguard national security and social stability, and robust measures were taken to prevent and crack down on illegal and criminal activities of all types in accordance with the law. All this has led to further progress in advancing the Peaceful China Initiative.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,16,1,75,过去一年，中国特色大国外交取得新成效。,"In 2025, we made new advances in conducting major-country diplomacy with Chinese characteristics.",1,1,1-1,0.0173,19,12,0.6316,False,,无需自动清洗 | 无需自动清洗,过去一年，中国特色大国外交取得新成效。,"In 2025, we made new advances in conducting major-country diplomacy with Chinese characteristics.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,16,2,76,习近平主席等党和国家领导人出访多国，出席中国－中亚峰会、亚太经合组织领导人非正式会议、金砖国家领导人线上峰会、二十国集团领导人峰会等重大多双边活动。,"President Xi Jinping and other Party and state leaders visited many countries and attended a host of major bilateral and multilateral events, including the China-Central Asia Summit, the 32nd APEC Economic Leaders' Meeting, the Virtual BRICS Summit, and the 20th G20 Summit.",1,1,1-1,0.1241,74,42,0.5676,False,,无需自动清洗 | 无需自动清洗,习近平主席等党和国家领导人出访多国，出席中国－中亚峰会、亚太经合组织领导人非正式会议、金砖国家领导人线上峰会、二十国集团领导人峰会等重大多双边活动。,"President Xi Jinping and other Party and state leaders visited many countries and attended a host of major bilateral and multilateral events, including the China-Central Asia Summit, the 32nd APEC Economic Leaders' Meeting, the Virtual BRICS Summit, and the 20th G20 Summit.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,16,3,77,成功举办上海合作组织天津峰会、全球妇女峰会、中拉论坛第四届部长级会议等重大主场外交活动。,"China also hosted several major diplomatic events, such as the Shanghai Cooperation Organization Tianjin Summit, the Global Leaders' Meeting on Women, and the Fourth Ministerial Meeting of the China-CELAC Forum.",1,1,1-1,0.0593,44,30,0.6818,False,,无需自动清洗 | 无需自动清洗,成功举办上海合作组织天津峰会、全球妇女峰会、中拉论坛第四届部长级会议等重大主场外交活动。,"China also hosted several major diplomatic events, such as the Shanghai Cooperation Organization Tianjin Summit, the Global Leaders' Meeting on Women, and the Fourth Ministerial Meeting of the China-CELAC Forum.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,16,4,78,坚决反对保护主义和单边霸凌行径，坚定维护多边主义和开放合作，坚定捍卫二战胜利成果，提出全球治理倡议，推动构建人类命运共同体，在应对全球性挑战和解决国际地区热点问题中发挥积极建设性作用。,"We remained firm in opposing protectionism and unilateral bullying acts, in upholding multilateralism, openness, and cooperation, and in defending the victorious outcomes of World War II. We proposed the Global Governance Initiative, continued to promote the building of a community with a shared future for humanity, and played a positive and constructive role in addressing global challenges and resolving regional and international hotspot issues.",1,2,1-2,0.2294,92,64,0.6957,False,,无需自动清洗 | 无需自动清洗,坚决反对保护主义和单边霸凌行径，坚定维护多边主义和开放合作，坚定捍卫二战胜利成果，提出全球治理倡议，推动构建人类命运共同体，在应对全球性挑战和解决国际地区热点问题中发挥积极建设性作用。,"We remained firm in opposing protectionism and unilateral bullying acts, in upholding multilateralism, openness, and cooperation, and in defending the victorious outcomes of World War II. We proposed the Global Governance Initiative, continued to promote the building of a community with a shared future for humanity, and played a positive and constructive role in addressing global challenges and resolving regional and international hotspot issues.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,16,5,79,中国为促进世界和平与发展作出了重要贡献。,"With these efforts, China made important contributions to global peace and development.",1,1,1-1,0.0685,20,12,0.6,False,,无需自动清洗 | 无需自动清洗,中国为促进世界和平与发展作出了重要贡献。,"With these efforts, China made important contributions to global peace and development.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,18,1,80,这些重大成就的取得，根本在于以习近平同志为核心的党中央领航掌舵，在于习近平新时代中国特色社会主义思想科学指引，是全党全军全国各族人民团结奋斗的结果。,"Fundamentally, we owe these remarkable achievements to the CPC Central Committee with Comrade Xi Jinping at its core, which has been at the helm charting our course; to Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, which has provided us with sound guidance;",1,2,1-2,0.4173,74,47,0.6351,False,,无需自动清洗 | 无需自动清洗,这些重大成就的取得，根本在于以习近平同志为核心的党中央领航掌舵，在于习近平新时代中国特色社会主义思想科学指引，是全党全军全国各族人民团结奋斗的结果。,"Fundamentally, we owe these remarkable achievements to the CPC Central Committee with Comrade Xi Jinping at its core, which has been at the helm charting our course; to Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, which has provided us with sound guidance;",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,18,2,81,我代表国务院，向全国各族人民，向各民主党派、各人民团体和各界人士，表示衷心感谢！,"and to the concerted efforts of the whole Party, the entire military, and the Chinese people of all ethnic groups. On behalf of the State Council, I express our sincere thanks to all our people and to all other political parties, people's organizations, and public figures from all sectors of society.",1,2,1-2,0.5795,40,51,1.275,False,,无需自动清洗 | 无需自动清洗,我代表国务院，向全国各族人民，向各民主党派、各人民团体和各界人士，表示衷心感谢！,"and to the concerted efforts of the whole Party, the entire military, and the Chinese people of all ethnic groups. On behalf of the State Council, I express our sincere thanks to all our people and to all other political parties, people's organizations, and public figures from all sectors of society.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,18,3,82,向香港特别行政区同胞、澳门特别行政区同胞、台湾同胞和海外侨胞，表示衷心感谢！,"I convey our heartfelt appreciation to our fellow countrymen and women in the Hong Kong and Macao special administrative regions, in Taiwan, and residing overseas.",1,1,1-1,0.2321,38,25,0.6579,False,,无需自动清洗 | 无需自动清洗,向香港特别行政区同胞、澳门特别行政区同胞、台湾同胞和海外侨胞，表示衷心感谢！,"I convey our heartfelt appreciation to our fellow countrymen and women in the Hong Kong and Macao special administrative regions, in Taiwan, and residing overseas.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,18,4,83,向关心和支持中国现代化建设的各国政府、国际组织和各国朋友，表示衷心感谢！,"I also extend our sincere appreciation to the governments of other countries, international organizations, and friends across the world that have shown understanding and support for us in China as we pursue modernization.",1,1,1-1,0.0996,36,33,0.9167,False,,无需自动清洗 | 无需自动清洗,向关心和支持中国现代化建设的各国政府、国际组织和各国朋友，表示衷心感谢！,"I also extend our sincere appreciation to the governments of other countries, international organizations, and friends across the world that have shown understanding and support for us in China as we pursue modernization.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,19,1,84,在肯定成绩的同时，我们也清醒看到面临的困难和挑战。,"While recognizing our achievements, we are also clear-eyed about the difficulties and challenges we face. The evolving external environment is exerting a greater impact on China, and geopolitical risks are rising.",1,2,1-2,0.5626,25,31,1.24,False,,无需自动清洗 | 无需自动清洗,在肯定成绩的同时，我们也清醒看到面临的困难和挑战。,"While recognizing our achievements, we are also clear-eyed about the difficulties and challenges we face. The evolving external environment is exerting a greater impact on China, and geopolitical risks are rising.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,19,2,85,外部环境变化影响加深，地缘政治风险持续上升，世界经济动能疲弱，多边主义、自由贸易受到严重冲击。,"Global economic momentum remains sluggish, while multilateralism and free trade are under severe threat. At home, we still face quite a few problems and challenges, both old and new, in economic development and transformation.",1,2,1-2,0.2763,47,34,0.7234,False,,无需自动清洗 | 无需自动清洗,外部环境变化影响加深，地缘政治风险持续上升，世界经济动能疲弱，多边主义、自由贸易受到严重冲击。,"Global economic momentum remains sluggish, while multilateralism and free trade are under severe threat. At home, we still face quite a few problems and challenges, both old and new, in economic development and transformation.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,19,3,86,国内经济发展和转型中面临的老问题、新挑战仍然不少。,"The task of transitioning to new growth drivers is formidable, the imbalance between strong supply and weak demand is acute, market expectations are weak, and there are many risks and hidden dangers in key areas. Some enterprises are facing difficulties in their operations, and it is more challenging for people to secure employment and earn more.",1,2,1-2,1.154,25,56,2.24,False,,无需自动清洗 | 无需自动清洗,国内经济发展和转型中面临的老问题、新挑战仍然不少。,"The task of transitioning to new growth drivers is formidable, the imbalance between strong supply and weak demand is acute, market expectations are weak, and there are many risks and hidden dangers in key areas. Some enterprises are facing difficulties in their operations, and it is more challenging for people to secure employment and earn more.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,19,4,87,新旧动能转换任务艰巨，供强需弱矛盾突出，市场预期偏弱，重点领域风险隐患较多。,"Some local governments are burdened by severe budgetary imbalances, and the real estate market remains in a period of adjustment. There are still many weak links in public services.",1,2,1-2,0.2228,38,29,0.7632,False,,无需自动清洗 | 无需自动清洗,新旧动能转换任务艰巨，供强需弱矛盾突出，市场预期偏弱，重点领域风险隐患较多。,"Some local governments are burdened by severe budgetary imbalances, and the real estate market remains in a period of adjustment. There are still many weak links in public services.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,19,5,88,一些企业经营困难，群众就业和增收难度加大，部分地方财政收支矛盾突出，房地产市场仍在调整。,There is also room for improvement in the work of the government. Some policies have not fully delivered as expected.,1,2,1-2,0.741,44,20,0.4545,False,,无需自动清洗 | 无需自动清洗,一些企业经营困难，群众就业和增收难度加大，部分地方财政收支矛盾突出，房地产市场仍在调整。,There is also room for improvement in the work of the government. Some policies have not fully delivered as expected.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,19,6,89,公共服务仍有不少短板弱项。,Some officials lack the ability and solutions needed to drive high-quality development.,1,1,1-1,0.1175,13,12,0.9231,False,,无需自动清洗 | 无需自动清洗,公共服务仍有不少短板弱项。,Some officials lack the ability and solutions needed to drive high-quality development.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,19,7,90,政府工作存在不足，一些政策实施效果仍待提高，一些干部抓高质量发展的能力不足、办法不多，有的政绩观存在偏差，不作为、乱作为、假作为，搞表面文章，一些领域和地方腐败问题依然多发。,"Some officials have a misguided understanding of what it means to perform well; they lack drive, act arbitrarily, work for show, or just go through the motions in their work.",1,2,1-2,1.0172,87,30,0.3448,False,,无需自动清洗 | 无需自动清洗,政府工作存在不足，一些政策实施效果仍待提高，一些干部抓高质量发展的能力不足、办法不多，有的政绩观存在偏差，不作为、乱作为、假作为，搞表面文章，一些领域和地方腐败问题依然多发。,"Some officials have a misguided understanding of what it means to perform well; they lack drive, act arbitrarily, work for show, or just go through the motions in their work.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,19,8,91,困难不容忽视，信心必须坚定。,"Corruption still occurs frequently in some sectors and localities. While these difficulties are not to be ignored, we still have every reason to be firmly confident.",1,2,1-2,0.9665,14,26,1.8571,False,,无需自动清洗 | 无需自动清洗,困难不容忽视，信心必须坚定。,"Corruption still occurs frequently in some sectors and localities. While these difficulties are not to be ignored, we still have every reason to be firmly confident.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,19,9,92,我国经济长期向好的支撑条件和基本趋势没有改变，制度优势和大国优势不断彰显。,"The conditions underpinning China's long-term growth and its underlying trend remain unchanged. More and more, China is demonstrating the strengths of its system and the strengths it has as a big country.",1,2,1-2,0.2023,37,32,0.8649,False,,无需自动清洗 | 无需自动清洗,我国经济长期向好的支撑条件和基本趋势没有改变，制度优势和大国优势不断彰显。,"The conditions underpinning China's long-term growth and its underlying trend remain unchanged. More and more, China is demonstrating the strengths of its system and the strengths it has as a big country.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,19,10,93,经历了风雨洗礼，我们的意志更加坚强、步伐更加坚定，只要用足用好优势、妥善应对挑战，我国的发展前景一定更加可期！,"Having been tested by storms and met tough challenges, we are more determined than ever to forge ahead. As long as we fully tap our strengths and respond to challenges in the right way, we will surely open up even more promising prospects for China's development.",1,2,1-2,0.1688,55,46,0.8364,False,,无需自动清洗 | 无需自动清洗,经历了风雨洗礼，我们的意志更加坚强、步伐更加坚定，只要用足用好优势、妥善应对挑战，我国的发展前景一定更加可期！,"Having been tested by storms and met tough challenges, we are more determined than ever to forge ahead. As long as we fully tap our strengths and respond to challenges in the right way, we will surely open up even more promising prospects for China's development.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,20,1,94,二、“十五五”时期主要目标和重大任务,II. Main Objectives and Major Tasks for the 15th Five-Year Plan Period,1,2,1-2,0.15,18,12,0.6667,False,,无需自动清洗 | 无需自动清洗,二、“十五五”时期主要目标和重大任务,II. Main Objectives and Major Tasks for the 15th Five-Year Plan Period,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,21,1,95,根据《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》，国务院编制了《中华人民共和国国民经济和社会发展第十五个五年规划纲要（草案）》，提交大会审查。,"In accordance with the Recommendations of the Central Committee of the Communist Party of China for Formulating the 15th Five-Year Plan for National Economic and Social Development, the State Council has drafted the Outline of the 15th Five-Year Plan for National Economic and Social Development of the People's Republic of China (2026–2030), which has been submitted to this session for your review.",1,1,1-1,0.0168,79,61,0.7722,False,,无需自动清洗 | 无需自动清洗,根据《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》，国务院编制了《中华人民共和国国民经济和社会发展第十五个五年规划纲要（草案）》，提交大会审查。,"In accordance with the Recommendations of the Central Committee of the Communist Party of China for Formulating the 15th Five-Year Plan for National Economic and Social Development, the State Council has drafted the Outline of the 15th Five-Year Plan for National Economic and Social Development of the People's Republic of China (2026–2030), which has been submitted to this session for your review.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,21,2,96,这里就主要目标指标、重大战略任务、重大工程项目作简要报告。,"I will now brief you on the indicators for the main objectives, major strategic tasks, and major projects of the Plan.",1,1,1-1,0.0474,29,21,0.7241,False,,无需自动清洗 | 无需自动清洗,这里就主要目标指标、重大战略任务、重大工程项目作简要报告。,"I will now brief you on the indicators for the main objectives, major strategic tasks, and major projects of the Plan.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,22,1,97,（一）关于主要目标指标,1. Indicators for the main objectives,1,2,1-2,0.15,11,5,0.4545,False,,无需自动清洗 | 无需自动清洗,（一）关于主要目标指标,1. Indicators for the main objectives,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,23,1,98,贯彻落实党中央《建议》明确的主要目标，《纲要（草案）》细化提出20项主要指标。,"To accomplish the main objectives laid out in the Party Central Committee's Recommendations, the draft Outline has specified 20 main indicators covering several areas.",1,1,1-1,0.214,39,23,0.5897,False,,无需自动清洗 | 无需自动清洗,贯彻落实党中央《建议》明确的主要目标，《纲要（草案）》细化提出20项主要指标。,"To accomplish the main objectives laid out in the Party Central Committee's Recommendations, the draft Outline has specified 20 main indicators covering several areas.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,23,2,99,经济发展方面，围绕增长、结构、效率提出3项指标。,"In the area of economic development, three indicators are proposed concerning growth, structure, and efficiency.",1,1,1-1,0.156,24,15,0.625,False,,无需自动清洗 | 无需自动清洗,经济发展方面，围绕增长、结构、效率提出3项指标。,"In the area of economic development, three indicators are proposed concerning growth, structure, and efficiency.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,23,3,100,其中，综合考虑国内外形势和各方面因素，兼顾需要与可能，提出国内生产总值增长保持在合理区间、各年度视情提出，为到2035年人均国内生产总值比2020年翻一番、达到中等发达国家水平打好基础。,"In consideration of evolving developments both at home and abroad and other relevant factors, and taking into account both what is needed and what is possible, it is proposed that GDP should keep growing within an appropriate range, with annual growth rates to be determined in light of actual conditions. This will lay a solid foundation for achieving the goal of doubling China's 2020 per capita GDP by 2035 to reach the level of a moderately developed country.",1,2,1-2,0.2622,93,76,0.8172,False,,无需自动清洗 | 无需自动清洗,其中，综合考虑国内外形势和各方面因素，兼顾需要与可能，提出国内生产总值增长保持在合理区间、各年度视情提出，为到2035年人均国内生产总值比2020年翻一番、达到中等发达国家水平打好基础。,"In consideration of evolving developments both at home and abroad and other relevant factors, and taking into account both what is needed and what is possible, it is proposed that GDP should keep growing within an appropriate range, with annual growth rates to be determined in light of actual conditions. This will lay a solid foundation for achieving the goal of doubling China's 2020 per capita GDP by 2035 to reach the level of a moderately developed country.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,23,4,101,创新驱动方面，围绕创新投入及其成效提出3项指标。,"In the area of innovation, three indicators are proposed concerning investment and outcomes.",1,1,1-1,0.2991,24,13,0.5417,False,,无需自动清洗 | 无需自动清洗,创新驱动方面，围绕创新投入及其成效提出3项指标。,"In the area of innovation, three indicators are proposed concerning investment and outcomes.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,23,5,102,其中，充分考虑研发投入增长趋势和企业投入能力，提出全社会研发经费投入年均增长7%以上，与“十四五”规划目标保持一致，确保研发投入力度不减。,"Based on a comprehensive assessment of the R&D spending growth trajectory and enterprise investment capacity, the draft Outline projects an annual average increase of at least 7 percent in nationwide R&D spending, the same as the target in the 14th Five-Year Plan. This will ensure that R&D spending continues to grow at a steady pace.",1,2,1-2,0.273,69,57,0.8261,False,,无需自动清洗 | 无需自动清洗,其中，充分考虑研发投入增长趋势和企业投入能力，提出全社会研发经费投入年均增长7%以上，与“十四五”规划目标保持一致，确保研发投入力度不减。,"Based on a comprehensive assessment of the R&D spending growth trajectory and enterprise investment capacity, the draft Outline projects an annual average increase of at least 7 percent in nationwide R&D spending, the same as the target in the 14th Five-Year Plan. This will ensure that R&D spending continues to grow at a steady pace.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,23,6,103,民生福祉方面，为更好解决人民群众急难愁盼问题，针对性提出就业、收入、教育、医疗、健康、“一老一小”等7项指标。绿色低碳方面，围绕降碳减污、生态环保等提出5项指标。,"In the area of public wellbeing, seven indicators are proposed, covering employment, income, education, medical care, health, elderly care, and childcare, with the aim of better addressing pressing difficulties and problems that concern people most. In the area of green and low-carbon development, five indicators are put forward, covering reductions in carbon emissions and pollution as well as ecological conservation and environmental protection.",2,2,2-2,0.3627,81,63,0.7778,False,,无需自动清洗 | 无需自动清洗,民生福祉方面，为更好解决人民群众急难愁盼问题，针对性提出就业、收入、教育、医疗、健康、“一老一小”等7项指标。绿色低碳方面，围绕降碳减污、生态环保等提出5项指标。,"In the area of public wellbeing, seven indicators are proposed, covering employment, income, education, medical care, health, elderly care, and childcare, with the aim of better addressing pressing difficulties and problems that concern people most. In the area of green and low-carbon development, five indicators are put forward, covering reductions in carbon emissions and pollution as well as ecological conservation and environmental protection.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,23,7,104,其中，根据国家自主贡献目标，提出单位国内生产总值二氧化碳排放累计降低17%，继续推动重点领域绿色低碳转型。,"In accordance with China's Nationally Determined Contributions, the draft Outline envisages a total reduction of 17 percent in carbon dioxide emissions per unit of GDP to promote the green and low-carbon transition across key sectors.",1,1,1-1,0.1299,53,34,0.6415,False,,无需自动清洗 | 无需自动清洗,其中，根据国家自主贡献目标，提出单位国内生产总值二氧化碳排放累计降低17%，继续推动重点领域绿色低碳转型。,"In accordance with China's Nationally Determined Contributions, the draft Outline envisages a total reduction of 17 percent in carbon dioxide emissions per unit of GDP to promote the green and low-carbon transition across key sectors.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,23,8,105,安全保障方面，围绕粮食、能源生产能力提出2项指标，着力夯实国家安全重要基础保障。,"In the area of security, two indicators related to food and energy production capacity are proposed, with a view to further solidifying the foundations underpinning China's national security.",1,1,1-1,0.0426,40,28,0.7,False,,无需自动清洗 | 无需自动清洗,安全保障方面，围绕粮食、能源生产能力提出2项指标，着力夯实国家安全重要基础保障。,"In the area of security, two indicators related to food and energy production capacity are proposed, with a view to further solidifying the foundations underpinning China's national security.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,24,1,106,（二）关于重大战略任务,2. Major strategic tasks,1,2,1-2,0.15,11,3,0.2727,False,,无需自动清洗 | 无需自动清洗,（二）关于重大战略任务,2. Major strategic tasks,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,25,1,107,《纲要（草案）》分领域阐述了“十五五”发展的重大战略任务，突出体现四个方面。,"The draft Outline sets out the major strategic tasks for the 15th Five-Year Plan period, placing particular emphasis on the following four areas.",1,1,1-1,0.0,38,23,0.6053,False,,无需自动清洗 | 无需自动清洗,《纲要（草案）》分领域阐述了“十五五”发展的重大战略任务，突出体现四个方面。,"The draft Outline sets out the major strategic tasks for the 15th Five-Year Plan period, placing particular emphasis on the following four areas.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,26,1,108,一是突出推动高质量发展。发展新质生产力是高质量发展的内在要求。,1) Pursuing high-quality development New quality productive forces are integral to high-quality development.,2,1,2-1,0.7665,31,12,0.3871,False,,无需自动清洗 | 无需自动清洗,一是突出推动高质量发展。发展新质生产力是高质量发展的内在要求。,1) Pursuing high-quality development New quality productive forces are integral to high-quality development.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,26,2,109,《纲要（草案）》强调科技创新的引领作用，着眼巩固壮大实体经济根基，构建以先进制造业为骨干的现代化产业体系。,"This is why the draft Outline underscores the leading role of scientific and technological innovation. To firm up the foundations of the real economy, we must modernize the industrial system with advanced manufacturing as its backbone.",1,2,1-2,0.2042,53,36,0.6792,False,,无需自动清洗 | 无需自动清洗,《纲要（草案）》强调科技创新的引领作用，着眼巩固壮大实体经济根基，构建以先进制造业为骨干的现代化产业体系。,"This is why the draft Outline underscores the leading role of scientific and technological innovation. To firm up the foundations of the real economy, we must modernize the industrial system with advanced manufacturing as its backbone.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,26,3,110,着眼高水平科技自立自强，加强原始创新和关键核心技术攻关，深入推进数字中国建设，数字经济核心产业增加值占国内生产总值比重达到12.5%。,"To achieve greater self-reliance and strength in science and technology, we must deliver advances in original innovation and breakthroughs in core technologies in key fields and achieve further progress in advancing the Digital China Initiative. In this regard, the draft Outline proposes raising the value added of core digital economy industries to 12.5 percent of GDP.",1,2,1-2,0.2852,67,55,0.8209,False,,无需自动清洗 | 无需自动清洗,着眼高水平科技自立自强，加强原始创新和关键核心技术攻关，深入推进数字中国建设，数字经济核心产业增加值占国内生产总值比重达到12.5%。,"To achieve greater self-reliance and strength in science and technology, we must deliver advances in original innovation and breakthroughs in core technologies in key fields and achieve further progress in advancing the Digital China Initiative. In this regard, the draft Outline proposes raising the value added of core digital economy industries to 12.5 percent of GDP.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,26,4,111,着眼建设美丽中国，持续深入推进污染防治攻坚和生态系统优化，加快形成绿色生产生活方式，确保碳达峰目标如期实现。,"To advance the Beautiful China Initiative, we must continue the critical battle against pollution along with our drive to upgrade ecosystems, accelerate the shift to eco-friendly production practices and lifestyles, and ensure that the goal of peaking carbon emissions before 2030 is accomplished as planned.",1,1,1-1,0.1278,54,44,0.8148,False,,无需自动清洗 | 无需自动清洗,着眼建设美丽中国，持续深入推进污染防治攻坚和生态系统优化，加快形成绿色生产生活方式，确保碳达峰目标如期实现。,"To advance the Beautiful China Initiative, we must continue the critical battle against pollution along with our drive to upgrade ecosystems, accelerate the shift to eco-friendly production practices and lifestyles, and ensure that the goal of peaking carbon emissions before 2030 is accomplished as planned.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,27,1,112,二是突出做强国内大循环。在外部环境复杂严峻的情况下，必须坚持扩大内需这个战略基点。,"2) Strengthening the domestic economy Facing a complex and challenging international environment, we must remain committed to the strategy of expanding domestic demand.",2,1,2-1,0.391,41,22,0.5366,False,,无需自动清洗 | 无需自动清洗,二是突出做强国内大循环。在外部环境复杂严峻的情况下，必须坚持扩大内需这个战略基点。,"2) Strengthening the domestic economy Facing a complex and challenging international environment, we must remain committed to the strategy of expanding domestic demand.",无需自动清洗,无需自动清洗
